Sample in Buffer,Sample in Window,TRIGGER,design_1_i/memops_scheduler_1_done_count[4:0],design_1_i/memops_scheduler_1_start_count[4:0],design_1_i/memops_scheduler_1_mst_exec_state[3:0],design_1_i/memops_scheduler_1_ndp_start[7:0],design_1_i/memops_scheduler_1_offset_reg1_valid,design_1_i/memops_scheduler_1_offset_reg2_valid,design_1_i/memops_scheduler_1_vaddr_offset_count[1:0],design_1_i/memops_scheduler_1_offset_read_enable_1,design_1_i/memops_scheduler_1_ndp_done[7:0],design_1_i/memops_scheduler_1_slv_reg254_wire[31:0],design_1_i/memops_scheduler_1_offset_read_addr_1[11:0]
0,0,0,00,01,b,00,1,1,2,0,00,00000000,005
1,1,0,00,01,b,00,1,1,2,0,00,00000000,005
2,2,0,00,01,b,00,1,1,2,0,00,00000000,005
3,3,0,00,01,b,00,1,1,2,0,00,00000000,005
4,4,0,00,01,b,00,1,1,2,0,00,00000000,005
5,5,0,00,01,b,00,1,1,2,0,00,00000000,005
6,6,0,00,01,b,00,1,1,2,0,00,00000000,005
7,7,0,00,01,b,00,1,1,2,0,00,00000000,005
8,8,0,00,01,b,00,1,1,2,0,00,00000000,005
9,9,0,00,01,b,00,1,1,2,0,00,00000000,005
10,10,0,00,01,b,00,1,1,2,0,00,00000000,005
11,11,0,00,01,b,00,1,1,2,0,00,00000000,005
12,12,0,00,01,b,00,1,1,2,0,00,00000000,005
13,13,0,00,01,b,00,1,1,2,0,00,00000000,005
14,14,0,00,01,b,00,1,1,2,0,00,00000000,005
15,15,0,00,01,b,00,1,1,2,0,00,00000000,005
16,16,0,00,01,b,00,1,1,2,0,00,00000000,005
17,17,0,00,01,b,00,1,1,2,0,00,00000000,005
18,18,0,00,01,b,00,1,1,2,0,00,00000000,005
19,19,0,00,01,b,00,1,1,2,0,00,00000000,005
20,20,0,00,01,b,00,1,1,2,0,00,00000000,005
21,21,0,00,01,b,00,1,1,2,0,00,00000000,005
22,22,0,00,01,b,00,1,1,2,0,00,00000000,005
23,23,0,00,01,b,00,1,1,2,0,00,00000000,005
24,24,0,00,01,b,00,1,1,2,0,00,00000000,005
25,25,0,00,01,b,00,1,1,2,0,00,00000000,005
26,26,0,00,01,b,00,1,1,2,0,00,00000000,005
27,27,0,00,01,b,00,1,1,2,0,00,00000000,005
28,28,0,00,01,b,00,1,1,2,0,00,00000000,005
29,29,0,00,01,b,00,1,1,2,0,00,00000000,005
30,30,0,00,01,b,00,1,1,2,0,00,00000000,005
31,31,0,00,01,b,00,1,1,2,0,00,00000000,005
32,32,0,00,01,b,00,1,1,2,0,00,00000000,005
33,33,0,00,01,b,00,1,1,2,0,00,00000000,005
34,34,0,00,01,b,00,1,1,2,0,00,00000000,005
35,35,0,00,01,b,00,1,1,2,0,00,00000000,005
36,36,0,00,01,b,00,1,1,2,0,00,00000000,005
37,37,0,00,01,b,00,1,1,2,0,00,00000000,005
