Sample in Buffer,Sample in Window,TRIGGER,design_1_i/addrmonitor_0_state[2:0],design_1_i/addrmonitor_0_physicaladdr[31:0],design_1_i/addrmonitor_0_pmem_obj_offset[63:0],design_1_i/addrmonitor_0_virtualaddr_out[63:0],design_1_i/addrmonitor_0_count[5:0],design_1_i/xdma_0_axi_aresetn,design_1_i/addrmonitor_0_pmem_obj_offset_valid,design_1_i/addrmonitor_0_offset_count[3:0]
0,0,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,d
1,1,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,e
2,2,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,f
3,3,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,0
4,4,0,1,88082000,00007f299917e000,00007fbebdb7f000,20,1,0,1
5,5,0,1,88082000,00007f299917e000,00007fbebd97e000,20,1,0,2
6,6,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,3
7,7,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,4
8,8,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,5
9,9,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,6
10,10,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,7
11,11,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,8
12,12,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,9
13,13,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,a
14,14,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,b
15,15,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,c
16,16,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,d
17,17,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,e
18,18,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,f
19,19,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,0
20,20,0,1,88082000,00007f299917e000,00007fbebdb7f000,20,1,0,1
21,21,0,1,88082000,00007f299917e000,00007fbebd97e000,20,1,0,2
22,22,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,3
23,23,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,4
24,24,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,5
25,25,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,6
26,26,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,7
27,27,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,8
28,28,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,9
29,29,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,a
30,30,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,b
31,31,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,c
32,32,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,d
33,33,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,e
34,34,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,f
35,35,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,0
36,36,0,1,88082000,00007f299917e000,00007fbebdb7f000,20,1,0,1
37,37,0,1,88082000,00007f299917e000,00007fbebd97e000,20,1,0,2
38,38,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,3
39,39,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,4
40,40,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,5
41,41,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,6
42,42,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,7
43,43,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,8
44,44,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,9
45,45,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,a
46,46,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,b
47,47,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,c
48,48,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,d
49,49,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,e
50,50,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,f
51,51,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,0
52,52,0,1,88082000,00007f299917e000,00007fbebdb7f000,20,1,0,1
53,53,0,1,88082000,00007f299917e000,00007fbebd97e000,20,1,0,2
54,54,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,3
55,55,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,4
56,56,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,5
57,57,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,6
58,58,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,7
59,59,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,8
60,60,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,9
61,61,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,a
62,62,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,b
63,63,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,c
64,64,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,d
65,65,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,e
66,66,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,f
67,67,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,0
68,68,0,1,88082000,00007f299917e000,00007fbebdb7f000,20,1,0,1
69,69,0,1,88082000,00007f299917e000,00007fbebd97e000,20,1,0,2
70,70,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,3
71,71,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,4
72,72,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,5
73,73,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,6
74,74,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,7
75,75,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,8
76,76,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,9
77,77,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,a
78,78,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,b
79,79,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,c
80,80,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,d
81,81,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,e
82,82,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,f
83,83,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,0
84,84,0,1,88082000,00007f299917e000,00007fbebdb7f000,20,1,0,1
85,85,0,1,88082000,00007f299917e000,00007fbebd97e000,20,1,0,2
86,86,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,3
87,87,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,4
88,88,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,5
89,89,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,6
90,90,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,7
91,91,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,8
92,92,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,9
93,93,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,a
94,94,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,b
95,95,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,c
96,96,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,d
97,97,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,e
98,98,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,f
99,99,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,0
100,100,0,1,88082000,00007f299917e000,00007fbebdb7f000,20,1,0,1
101,101,0,1,88082000,00007f299917e000,00007fbebd97e000,20,1,0,2
102,102,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,3
103,103,0,1,88082000,00007f299917e000,0000000000000000,20,1,0,4
