Sample in Buffer,Sample in Window,TRIGGER,design_1_i/addrmonitor_0_state[2:0],design_1_i/addrmonitor_0_physicaladdr[31:0],design_1_i/addrmonitor_0_virtualaddr[63:0],design_1_i/addrmonitor_0_offset[63:0],design_1_i/addrmonitor_0_count[5:0],design_1_i/addrmonitor_0_virtualaddr_out1[63:0]
0,0,0,1,88082000,0000000000000000,00007fa0e2f7e000,2c,00007fa0e2f7e000
1,1,0,1,88082000,0000000000000000,00007fa0e2f7e000,2c,00007fa0e2f7e000
2,2,0,1,88082000,0000000000000000,00007fa0e2f7e000,2c,00007fa0e2f7e000
3,3,0,1,88082000,0000000000000000,00007fa0e2f7e000,2c,00007fa0e2f7e000
4,4,0,1,88082000,0000000000000000,00007fa0e2f7e000,2c,00007fa0e2f7e000
5,5,0,1,88082000,0000000000000000,00007fa0e2f7e000,2c,00007fa0e2f7e000
6,6,0,1,88082000,0000000000000000,00007fa0e2f7e000,2c,00007fa0e2f7e000
7,7,0,1,88082000,0000000000000000,00007fa0e2f7e000,2c,00007fa0e2f7e000
8,8,0,1,88082000,0000000000000000,00007fa0e2f7e000,2c,00007fa0e2f7e000
9,9,0,1,88082000,0000000000000000,00007fa0e2f7e000,2c,00007fa0e2f7e000
10,10,0,1,88082000,0000000000000000,00007fa0e2f7e000,2c,00007fa0e2f7e000
11,11,0,1,88082000,0000000000000000,00007fa0e2f7e000,2c,00007fa0e2f7e000
12,12,0,1,88082000,0000000000000000,00007fa0e2f7e000,2c,00007fa0e2f7e000
13,13,0,1,88082000,00007fa0e317f000,00007fa0e2f7e000,2c,00007fa0e2f7e000
14,14,0,1,88082000,00007fa0e2f7e000,00007fa0e2f7e000,2c,00007fa0e2f7e000
15,15,0,1,88082000,0000000000000000,00007fa0e2f7e000,2c,00007fa0e2f7e000
16,16,0,1,88082000,0000000000000000,00007fa0e2f7e000,2c,00007fa0e2f7e000
17,17,0,1,88082000,0000000000000000,00007fa0e2f7e000,2c,00007fa0e2f7e000
18,18,0,1,88082000,0000000000000000,00007fa0e2f7e000,2c,00007fa0e2f7e000
19,19,0,1,88082000,0000000000000000,00007fa0e2f7e000,2c,00007fa0e2f7e000
20,20,0,1,88082000,0000000000000000,00007fa0e2f7e000,2c,00007fa0e2f7e000
21,21,0,1,88082000,0000000000000000,00007fa0e2f7e000,2c,00007fa0e2f7e000
22,22,0,1,88082000,0000000000000000,00007fa0e2f7e000,2c,00007fa0e2f7e000
23,23,0,1,88082000,0000000000000000,00007fa0e2f7e000,2c,00007fa0e2f7e000
24,24,0,1,88082000,0000000000000000,00007fa0e2f7e000,2c,00007fa0e2f7e000
25,25,0,1,88082000,0000000000000000,00007fa0e2f7e000,2c,00007fa0e2f7e000
26,26,0,1,88082000,0000000000000000,00007fa0e2f7e000,2c,00007fa0e2f7e000
27,27,0,1,88082000,0000000000000000,00007fa0e2f7e000,2c,00007fa0e2f7e000
28,28,0,1,88082000,0000000000000000,00007fa0e2f7e000,2c,00007fa0e2f7e000
29,29,0,1,88082000,00007fa0e317f000,00007fa0e2f7e000,2c,00007fa0e2f7e000
30,30,0,1,88082000,00007fa0e2f7e000,00007fa0e2f7e000,2c,00007fa0e2f7e000
31,31,0,1,88082000,0000000000000000,00007fa0e2f7e000,2c,00007fa0e2f7e000
32,32,0,1,88082000,0000000000000000,00007fa0e2f7e000,2c,00007fa0e2f7e000
33,33,0,1,88082000,0000000000000000,00007fa0e2f7e000,2c,00007fa0e2f7e000
34,34,0,1,88082000,0000000000000000,00007fa0e2f7e000,2c,00007fa0e2f7e000
35,35,0,1,88082000,0000000000000000,00007fa0e2f7e000,2c,00007fa0e2f7e000
36,36,0,1,88082000,0000000000000000,00007fa0e2f7e000,2c,00007fa0e2f7e000
37,37,0,1,88082000,0000000000000000,00007fa0e2f7e000,2c,00007fa0e2f7e000
